port,product,pol,date,role,objects
Jebel Ali,S1A_IW_GRDH_1SDV_20251109T142503_20251109T142528_061802_07B9BD_1AE4,VV,2025-11-09,eval,1234
Jebel Ali,S1A_IW_GRDH_1SDV_20251121T142503_20251121T142528_061977_07C08B_B3BC,VV,2025-11-21,eval,1283
Jebel Ali,S1A_IW_GRDH_1SDV_20251203T142501_20251203T142526_062152_07C75E_D213,VV,2025-12-03,eval,1390
Jebel Ali,S1A_IW_GRDH_1SDV_20251206T021540_20251206T021603_062188_07C8BF_E0FB,VV,2025-12-06,eval,1003
Jebel Ali,S1A_IW_GRDH_1SDV_20251215T142500_20251215T142525_062327_07CE36_F264,VV,2025-12-15,eval,930
Jebel Ali,S1A_IW_GRDH_1SDV_20251227T142459_20251227T142524_062502_07D505_24C1,VV,2025-12-27,eval,1712
Jebel Ali,S1C_IW_GRDH_1SDV_20250814T021436_20250814T021501_003662_00752F_F0F2,VV,2025-08-14,eval,978
Jebel Ali,S1C_IW_GRDH_1SDV_20251013T021438_20251013T021503_004537_008FA6_7629,VV,2025-10-13,eval,983
Jebel Ali,S1C_IW_GRDH_1SDV_20251025T021438_20251025T021503_004712_0094F6_EC36,VV,2025-10-25,eval,953
Jebel Ali,S1C_IW_GRDH_1SDV_20251106T021437_20251106T021502_004887_009A94_6EF3,VV,2025-11-06,eval,898
Jebel Ali,S1C_IW_GRDH_1SDV_20251130T021436_20251130T021501_005237_00A653_4A11,VV,2025-11-30,eval,911
Los Angeles,S1A_IW_GRDH_1SDV_20250202T135247_20250202T135312_057718_071D69_2EC7,VH,2025-02-02,adapt,55
Los Angeles,S1C_IW_GRDH_1SDV_20250414T015728_20250414T015809_001883_0039AF_C154,VH,2025-04-14,eval,160
Los Angeles,S1A_IW_GRDH_1SDV_20250202T135247_20250202T135312_057718_071D69_2EC7,VV,2025-02-02,adapt,45
Los Angeles,S1C_IW_GRDH_1SDV_20250414T015728_20250414T015809_001883_0039AF_C154,VV,2025-04-14,eval,78
Melbourne,S1A_IW_GRDH_1SDV_20250217T193335_20250217T193400_057940_072653_7401,VH,2025-02-17,adapt,153
Melbourne,S1A_IW_GRDH_1SDV_20250406T193335_20250406T193400_058640_074290_9E86,VH,2025-04-06,adapt,122
Melbourne,S1A_IW_GRDH_1SDV_20250418T193335_20250418T193400_058815_0749B9_7FEC,VH,2025-04-18,eval,146
Melbourne,S1A_IW_GRDH_1SDV_20250629T193333_20250629T193358_059865_076F8D_C18A,VH,2025-06-29,eval,122
Melbourne,S1A_IW_GRDH_1SDV_20250217T193335_20250217T193400_057940_072653_7401,VV,2025-02-17,adapt,386
Melbourne,S1A_IW_GRDH_1SDV_20250406T193335_20250406T193400_058640_074290_9E86,VV,2025-04-06,adapt,166
Melbourne,S1A_IW_GRDH_1SDV_20250418T193335_20250418T193400_058815_0749B9_7FEC,VV,2025-04-18,eval,315
Melbourne,S1A_IW_GRDH_1SDV_20250629T193333_20250629T193358_059865_076F8D_C18A,VV,2025-06-29,eval,86
Mombasa,S1A_IW_GRDH_1SDV_20250115T153906_20250115T153935_057456_071303_0ED7,VH,2025-01-15,adapt,13
Mombasa,S1A_IW_GRDH_1SDV_20250127T153906_20250127T153935_057631_0719FF_8570,VH,2025-01-27,adapt,20
Mombasa,S1A_IW_GRDH_1SDV_20250220T153905_20250220T153934_057981_0727FE_BF71,VH,2025-02-20,adapt,21
Mombasa,S1A_IW_GRDH_1SDV_20250316T153905_20250316T153934_058331_073622_85D9,VH,2025-03-16,adapt,20
Mombasa,S1A_IW_GRDH_1SDV_20250328T153905_20250328T153934_058506_073D15_583F,VH,2025-03-28,adapt,24
Mombasa,S1A_IW_GRDH_1SDV_20250421T153906_20250421T153935_058856_074B68_80A1,VH,2025-04-21,adapt,13
Mombasa,S1A_IW_GRDH_1SDV_20250515T153905_20250515T153934_059206_0758C3_2241,VH,2025-05-15,adapt,16
Mombasa,S1A_IW_GRDH_1SDV_20250527T153905_20250527T153934_059381_075EDC_EE48,VH,2025-05-27,adapt,18
Mombasa,S1A_IW_GRDH_1SDV_20250620T153903_20250620T153932_059731_076AE1_A027,VH,2025-06-20,adapt,15
Mombasa,S1A_IW_GRDH_1SDV_20250702T153903_20250702T153932_059906_0770FC_6D94,VH,2025-07-02,adapt,18
Mombasa,S1A_IW_GRDH_1SDV_20250714T153902_20250714T153931_060081_0776FF_25DB,VH,2025-07-14,adapt,36
Mombasa,S1A_IW_GRDH_1SDV_20250726T153902_20250726T153931_060256_077D04_0826,VH,2025-07-26,eval,21
Mombasa,S1A_IW_GRDH_1SDV_20250819T153902_20250819T153931_060606_078A07_42F0,VH,2025-08-19,eval,16
Mombasa,S1A_IW_GRDH_1SDV_20250831T153902_20250831T153931_060781_0790EA_0B81,VH,2025-08-31,eval,24
Mombasa,S1A_IW_GRDH_1SDV_20250912T153902_20250912T153931_060956_0797E9_52CC,VH,2025-09-12,eval,25
Mombasa,S1A_IW_GRDH_1SDV_20250924T153902_20250924T153931_061131_079EEF_95D2,VH,2025-09-24,eval,22
Mombasa,S1A_IW_GRDH_1SDV_20251006T153903_20251006T153932_061306_07A5FE_9B54,VH,2025-10-06,eval,21
Mombasa,S1A_IW_GRDH_1SDV_20251018T153903_20251018T153932_061481_07AD03_B243,VH,2025-10-18,eval,26
Mombasa,S1A_IW_GRDH_1SDV_20251030T153902_20251030T153931_061656_07B411_FB08,VH,2025-10-30,eval,39
Mombasa,S1C_IW_GRDH_1SDV_20250920T030348_20250920T030413_004202_008573_E1A5,VH,2025-09-20,eval,27
Mombasa,S1C_IW_GRDH_1SDV_20251026T030348_20251026T030413_004727_009566_6FE4,VH,2025-10-26,eval,40
Mombasa,S1C_IW_GRDH_1SDV_20251107T030348_20251107T030413_004902_009B16_327F,VH,2025-11-07,eval,29
Mombasa,S1C_IW_GRDH_1SDV_20251201T030347_20251201T030412_005252_00A6CF_3A0E,VH,2025-12-01,eval,38
Mombasa,S1A_IW_GRDH_1SDV_20250115T153906_20250115T153935_057456_071303_0ED7,VV,2025-01-15,adapt,43
Mombasa,S1A_IW_GRDH_1SDV_20250127T153906_20250127T153935_057631_0719FF_8570,VV,2025-01-27,adapt,34
Mombasa,S1A_IW_GRDH_1SDV_20250220T153905_20250220T153934_057981_0727FE_BF71,VV,2025-02-20,adapt,29
Mombasa,S1A_IW_GRDH_1SDV_20250316T153905_20250316T153934_058331_073622_85D9,VV,2025-03-16,adapt,22
Mombasa,S1A_IW_GRDH_1SDV_20250328T153905_20250328T153934_058506_073D15_583F,VV,2025-03-28,adapt,35
Mombasa,S1A_IW_GRDH_1SDV_20250421T153906_20250421T153935_058856_074B68_80A1,VV,2025-04-21,adapt,21
Mombasa,S1A_IW_GRDH_1SDV_20250515T153905_20250515T153934_059206_0758C3_2241,VV,2025-05-15,adapt,65
Mombasa,S1A_IW_GRDH_1SDV_20250527T153905_20250527T153934_059381_075EDC_EE48,VV,2025-05-27,adapt,75
Mombasa,S1A_IW_GRDH_1SDV_20250620T153903_20250620T153932_059731_076AE1_A027,VV,2025-06-20,adapt,28
Mombasa,S1A_IW_GRDH_1SDV_20250702T153903_20250702T153932_059906_0770FC_6D94,VV,2025-07-02,adapt,23
Mombasa,S1A_IW_GRDH_1SDV_20250714T153902_20250714T153931_060081_0776FF_25DB,VV,2025-07-14,adapt,67
Mombasa,S1A_IW_GRDH_1SDV_20250726T153902_20250726T153931_060256_077D04_0826,VV,2025-07-26,eval,51
Mombasa,S1A_IW_GRDH_1SDV_20250819T153902_20250819T153931_060606_078A07_42F0,VV,2025-08-19,eval,40
Mombasa,S1A_IW_GRDH_1SDV_20250831T153902_20250831T153931_060781_0790EA_0B81,VV,2025-08-31,eval,37
Mombasa,S1A_IW_GRDH_1SDV_20250912T153902_20250912T153931_060956_0797E9_52CC,VV,2025-09-12,eval,115
Mombasa,S1A_IW_GRDH_1SDV_20250924T153902_20250924T153931_061131_079EEF_95D2,VV,2025-09-24,eval,36
Mombasa,S1A_IW_GRDH_1SDV_20251006T153903_20251006T153932_061306_07A5FE_9B54,VV,2025-10-06,eval,41
Mombasa,S1A_IW_GRDH_1SDV_20251018T153903_20251018T153932_061481_07AD03_B243,VV,2025-10-18,eval,43
Mombasa,S1A_IW_GRDH_1SDV_20251030T153902_20251030T153931_061656_07B411_FB08,VV,2025-10-30,eval,60
Mombasa,S1C_IW_GRDH_1SDV_20250920T030348_20250920T030413_004202_008573_E1A5,VV,2025-09-20,eval,85
Mombasa,S1C_IW_GRDH_1SDV_20251026T030348_20251026T030413_004727_009566_6FE4,VV,2025-10-26,eval,89
Mombasa,S1C_IW_GRDH_1SDV_20251107T030348_20251107T030413_004902_009B16_327F,VV,2025-11-07,eval,50
Mombasa,S1C_IW_GRDH_1SDV_20251201T030347_20251201T030412_005252_00A6CF_3A0E,VV,2025-12-01,eval,79
New York,S1A_IW_GRDH_1SDV_20250211T225059_20250211T225124_057855_0722DE_45FE,VH,2025-02-11,adapt,104
New York,S1A_IW_GRDH_1SDV_20251126T225109_20251126T225134_062055_07C38B_B529,VH,2025-11-26,eval,206
New York,S1A_IW_GRDH_1SDV_20250211T225059_20250211T225124_057855_0722DE_45FE,VV,2025-02-11,adapt,254
New York,S1A_IW_GRDH_1SDV_20251126T225109_20251126T225134_062055_07C38B_B529,VV,2025-11-26,eval,665
Newcastle,S1A_IW_GRDH_1SDV_20250121T190730_20250121T190755_057546_07169B_6835,VH,2025-01-21,adapt,56
Newcastle,S1A_IW_GRDH_1SDV_20250126T191540_20250126T191605_057619_07197E_F97F,VH,2025-01-26,adapt,19
Newcastle,S1A_IW_GRDH_1SDV_20250219T191539_20250219T191604_057969_072771_AEEC,VH,2025-02-19,adapt,22
Newcastle,S1A_IW_GRDH_1SDV_20250315T191539_20250315T191604_058319_0735A5_19A8,VH,2025-03-15,adapt,21
Newcastle,S1A_IW_GRDH_1SDV_20250514T191539_20250514T191604_059194_07585D_32C0,VH,2025-05-14,adapt,36
Newcastle,S1A_IW_GRDH_1SDV_20250619T191537_20250619T191602_059719_076A71_A28F,VH,2025-06-19,adapt,39
Newcastle,S1A_IW_GRDH_1SDV_20250806T191536_20250806T191601_060419_0782A5_AF18,VH,2025-08-06,eval,21
Newcastle,S1A_IW_GRDH_1SDV_20251017T191537_20251017T191602_061469_07AC87_CC33,VH,2025-10-17,eval,27
Newcastle,S1A_IW_GRDH_1SDV_20251029T191536_20251029T191601_061644_07B393_8142,VH,2025-10-29,eval,16
Newcastle,S1A_IW_GRDH_1SDV_20251110T191536_20251110T191601_061819_07BA62_4077,VH,2025-11-10,eval,37
Newcastle,S1A_IW_GRDH_1SDV_20251204T191534_20251204T191559_062169_07C80B_6F85,VH,2025-12-04,eval,16
Newcastle,S1C_IW_GRDH_1SDV_20250813T062133_20250813T062158_003650_0074D4_BCC0,VH,2025-08-13,eval,410
Newcastle,S1A_IW_GRDH_1SDV_20250121T190730_20250121T190755_057546_07169B_6835,VV,2025-01-21,adapt,65
Newcastle,S1A_IW_GRDH_1SDV_20250126T191540_20250126T191605_057619_07197E_F97F,VV,2025-01-26,adapt,42
Newcastle,S1A_IW_GRDH_1SDV_20250219T191539_20250219T191604_057969_072771_AEEC,VV,2025-02-19,adapt,41
Newcastle,S1A_IW_GRDH_1SDV_20250315T191539_20250315T191604_058319_0735A5_19A8,VV,2025-03-15,adapt,47
Newcastle,S1A_IW_GRDH_1SDV_20250514T191539_20250514T191604_059194_07585D_32C0,VV,2025-05-14,adapt,48
Newcastle,S1A_IW_GRDH_1SDV_20250619T191537_20250619T191602_059719_076A71_A28F,VV,2025-06-19,adapt,62
Newcastle,S1A_IW_GRDH_1SDV_20250806T191536_20250806T191601_060419_0782A5_AF18,VV,2025-08-06,eval,18
Newcastle,S1A_IW_GRDH_1SDV_20251017T191537_20251017T191602_061469_07AC87_CC33,VV,2025-10-17,eval,29
Newcastle,S1A_IW_GRDH_1SDV_20251029T191536_20251029T191601_061644_07B393_8142,VV,2025-10-29,eval,19
Newcastle,S1A_IW_GRDH_1SDV_20251110T191536_20251110T191601_061819_07BA62_4077,VV,2025-11-10,eval,39
Newcastle,S1A_IW_GRDH_1SDV_20251204T191534_20251204T191559_062169_07C80B_6F85,VV,2025-12-04,eval,23
Newcastle,S1C_IW_GRDH_1SDV_20250813T062133_20250813T062158_003650_0074D4_BCC0,VV,2025-08-13,eval,430
Ningbo-Zhoushan,S1A_IW_GRDH_1SDV_20250703T095436_20250703T095501_059918_07715F_4982,VH,2025-07-03,adapt,990
Ningbo-Zhoushan,S1A_IW_GRDH_1SDV_20251230T095431_20251230T095456_062543_07D685_F009,VH,2025-12-30,eval,1097
Ningbo-Zhoushan,S1A_IW_GRDH_1SDV_20250703T095436_20250703T095501_059918_07715F_4982,VV,2025-07-03,adapt,1553
Ningbo-Zhoushan,S1A_IW_GRDH_1SDV_20251230T095431_20251230T095456_062543_07D685_F009,VV,2025-12-30,eval,991
Port Hedland,S1C_IW_GRDH_1SDV_20250614T213050_20250614T213119_002784_005B97_D06D,VH,2025-06-14,adapt,96
Port Hedland,S1C_IW_GRDH_1SDV_20250813T213053_20250813T213122_003659_00751A_DBC8,VH,2025-08-13,adapt,88
Port Hedland,S1C_IW_GRDH_1SDV_20251024T213054_20251024T213124_004709_0094E0_DB1C,VH,2025-10-24,adapt,88
Port Hedland,S1C_IW_GRDH_1SDV_20251105T213054_20251105T213124_004884_009A7D_8FDC,VH,2025-11-05,adapt,104
Port Hedland,S1C_IW_GRDH_1SDV_20251117T213054_20251117T213123_005059_00A05C_1C3A,VH,2025-11-17,eval,61
Port Hedland,S1C_IW_GRDH_1SDV_20251129T213053_20251129T213123_005234_00A63B_63CD,VH,2025-11-29,eval,53
Port Hedland,S1C_IW_GRDH_1SDV_20251211T213053_20251211T213122_005409_00AC3F_40F8,VH,2025-12-11,eval,61
Port Hedland,S1C_IW_GRDH_1SDV_20251223T213052_20251223T213121_005584_00B23E_FFF7,VH,2025-12-23,eval,93
Port Hedland,S1C_IW_GRDH_1SDV_20250614T213050_20250614T213119_002784_005B97_D06D,VV,2025-06-14,adapt,150
Port Hedland,S1C_IW_GRDH_1SDV_20250813T213053_20250813T213122_003659_00751A_DBC8,VV,2025-08-13,adapt,136
Port Hedland,S1C_IW_GRDH_1SDV_20251024T213054_20251024T213124_004709_0094E0_DB1C,VV,2025-10-24,adapt,102
Port Hedland,S1C_IW_GRDH_1SDV_20251105T213054_20251105T213124_004884_009A7D_8FDC,VV,2025-11-05,adapt,116
Port Hedland,S1C_IW_GRDH_1SDV_20251117T213054_20251117T213123_005059_00A05C_1C3A,VV,2025-11-17,eval,61
Port Hedland,S1C_IW_GRDH_1SDV_20251129T213053_20251129T213123_005234_00A63B_63CD,VV,2025-11-29,eval,64
Port Hedland,S1C_IW_GRDH_1SDV_20251211T213053_20251211T213122_005409_00AC3F_40F8,VV,2025-12-11,eval,75
Port Hedland,S1C_IW_GRDH_1SDV_20251223T213052_20251223T213121_005584_00B23E_FFF7,VV,2025-12-23,eval,116
Port Klang,S1A_IW_GRDH_1SDV_20250310T113410_20250310T113435_058242_07329D_6109,VH,2025-03-10,adapt,342
Port Klang,S1A_IW_GRDH_1SDV_20250626T113408_20250626T113433_059817_076DDC_1C20,VH,2025-06-26,adapt,280
Port Klang,S1A_IW_GRDH_1SDV_20250708T113408_20250708T113433_059992_0773EA_C045,VH,2025-07-08,adapt,313
Port Klang,S1A_IW_GRDH_1SDV_20250720T113407_20250720T113432_060167_0779EF_8B2D,VH,2025-07-20,adapt,314
Port Klang,S1A_IW_GRDH_1SDV_20250813T113407_20250813T113432_060517_078680_45FA,VH,2025-08-13,adapt,376
Port Klang,S1A_IW_GRDH_1SDV_20250930T113407_20250930T113432_061217_07A26A_3C89,VH,2025-09-30,eval,306
Port Klang,S1A_IW_GRDH_1SDV_20251012T113408_20251012T113433_061392_07A972_E193,VH,2025-10-12,eval,315
Port Klang,S1A_IW_GRDH_1SDV_20251129T113406_20251129T113431_062092_07C503_6B6D,VH,2025-11-29,eval,372
Port Klang,S1A_IW_GRDH_1SDV_20251211T113405_20251211T113430_062267_07CBD7_A7ED,VH,2025-12-11,eval,336
Port Klang,S1A_IW_GRDH_1SDV_20251223T113403_20251223T113428_062442_07D2AB_3284,VH,2025-12-23,eval,329
Port Klang,S1A_IW_GRDH_1SDV_20260104T113402_20260104T113427_062617_07D969_8415,VH,2026-01-04,eval,382
Port Klang,S1A_IW_GRDH_1SDV_20250310T113410_20250310T113435_058242_07329D_6109,VV,2025-03-10,adapt,485
Port Klang,S1A_IW_GRDH_1SDV_20250626T113408_20250626T113433_059817_076DDC_1C20,VV,2025-06-26,adapt,289
Port Klang,S1A_IW_GRDH_1SDV_20250708T113408_20250708T113433_059992_0773EA_C045,VV,2025-07-08,adapt,324
Port Klang,S1A_IW_GRDH_1SDV_20250720T113407_20250720T113432_060167_0779EF_8B2D,VV,2025-07-20,adapt,342
Port Klang,S1A_IW_GRDH_1SDV_20250813T113407_20250813T113432_060517_078680_45FA,VV,2025-08-13,adapt,579
Port Klang,S1A_IW_GRDH_1SDV_20250930T113407_20250930T113432_061217_07A26A_3C89,VV,2025-09-30,eval,322
Port Klang,S1A_IW_GRDH_1SDV_20251012T113408_20251012T113433_061392_07A972_E193,VV,2025-10-12,eval,350
Port Klang,S1A_IW_GRDH_1SDV_20251129T113406_20251129T113431_062092_07C503_6B6D,VV,2025-11-29,eval,396
Port Klang,S1A_IW_GRDH_1SDV_20251211T113405_20251211T113430_062267_07CBD7_A7ED,VV,2025-12-11,eval,361
Port Klang,S1A_IW_GRDH_1SDV_20251223T113403_20251223T113428_062442_07D2AB_3284,VV,2025-12-23,eval,372
Port Klang,S1A_IW_GRDH_1SDV_20260104T113402_20260104T113427_062617_07D969_8415,VV,2026-01-04,eval,403
Port Said,S1A_IW_GRDH_1SDV_20250317T035236_20250317T035301_058339_07366E_1A19,VH,2025-03-17,adapt,261
Port Said,S1A_IW_GRDH_1SDV_20250422T035237_20250422T035302_058864_074BB7_3AD7,VH,2025-04-22,adapt,332
Port Said,S1A_IW_GRDH_1SDV_20250504T035237_20250504T035302_059039_0752BC_810D,VH,2025-05-04,adapt,300
Port Said,S1A_IW_GRDH_1SDV_20250516T035237_20250516T035302_059214_07590C_1B74,VH,2025-05-16,adapt,280
Port Said,S1A_IW_GRDH_1SDV_20250528T035236_20250528T035301_059389_075F25_EDE8,VH,2025-05-28,adapt,259
Port Said,S1A_IW_GRDH_1SDV_20250609T035235_20250609T035300_059564_07651D_4100,VH,2025-06-09,adapt,249
Port Said,S1A_IW_GRDH_1SDV_20250621T035235_20250621T035300_059739_076B27_C979,VH,2025-06-21,adapt,269
Port Said,S1A_IW_GRDH_1SDV_20250703T035234_20250703T035259_059914_077140_7BD6,VH,2025-07-03,adapt,275
Port Said,S1A_IW_GRDH_1SDV_20250715T035234_20250715T035259_060089_077743_FB08,VH,2025-07-15,adapt,291
Port Said,S1A_IW_GRDH_1SDV_20250727T035233_20250727T035258_060264_077D47_F0A8,VH,2025-07-27,adapt,276
Port Said,S1A_IW_GRDH_1SDV_20250808T035233_20250808T035258_060439_078370_CD54,VH,2025-08-08,adapt,279
Port Said,S1A_IW_GRDH_1SDV_20250820T035233_20250820T035258_060614_078A53_5450,VH,2025-08-20,eval,266
Port Said,S1A_IW_GRDH_1SDV_20250901T035233_20250901T035258_060789_079136_B324,VH,2025-09-01,eval,252
Port Said,S1A_IW_GRDH_1SDV_20250913T035234_20250913T035259_060964_079836_C838,VH,2025-09-13,eval,257
Port Said,S1A_IW_GRDH_1SDV_20250925T035234_20250925T035259_061139_079F3E_697B,VH,2025-09-25,eval,287
Port Said,S1A_IW_GRDH_1SDV_20251007T035234_20251007T035259_061314_07A64B_B254,VH,2025-10-07,eval,289
Port Said,S1A_IW_GRDH_1SDV_20251019T035234_20251019T035259_061489_07AD50_1AB6,VH,2025-10-19,eval,293
Port Said,S1A_IW_GRDH_1SDV_20251112T035233_20251112T035258_061839_07BB21_91CA,VH,2025-11-12,eval,268
Port Said,S1A_IW_GRDH_1SDV_20251124T035232_20251124T035257_062014_07C1F4_0DB0,VH,2025-11-24,eval,240
Port Said,S1A_IW_GRDH_1SDV_20251206T035231_20251206T035256_062189_07C8C7_B4B3,VH,2025-12-06,eval,210
Port Said,S1A_IW_GRDH_1SDV_20251218T035230_20251218T035255_062364_07CF9A_DF33,VH,2025-12-18,eval,256
Port Said,S1A_IW_GRDH_1SDV_20251230T035229_20251230T035254_062539_07D665_2BBB,VH,2025-12-30,eval,227
Port Said,S1A_IW_GRDH_1SDV_20250317T035236_20250317T035301_058339_07366E_1A19,VV,2025-03-17,adapt,542
Port Said,S1A_IW_GRDH_1SDV_20250422T035237_20250422T035302_058864_074BB7_3AD7,VV,2025-04-22,adapt,509
Port Said,S1A_IW_GRDH_1SDV_20250504T035237_20250504T035302_059039_0752BC_810D,VV,2025-05-04,adapt,340
Port Said,S1A_IW_GRDH_1SDV_20250516T035237_20250516T035302_059214_07590C_1B74,VV,2025-05-16,adapt,262
Port Said,S1A_IW_GRDH_1SDV_20250528T035236_20250528T035301_059389_075F25_EDE8,VV,2025-05-28,adapt,286
Port Said,S1A_IW_GRDH_1SDV_20250609T035235_20250609T035300_059564_07651D_4100,VV,2025-06-09,adapt,315
Port Said,S1A_IW_GRDH_1SDV_20250621T035235_20250621T035300_059739_076B27_C979,VV,2025-06-21,adapt,305
Port Said,S1A_IW_GRDH_1SDV_20250703T035234_20250703T035259_059914_077140_7BD6,VV,2025-07-03,adapt,396
Port Said,S1A_IW_GRDH_1SDV_20250715T035234_20250715T035259_060089_077743_FB08,VV,2025-07-15,adapt,363
Port Said,S1A_IW_GRDH_1SDV_20250727T035233_20250727T035258_060264_077D47_F0A8,VV,2025-07-27,adapt,373
Port Said,S1A_IW_GRDH_1SDV_20250808T035233_20250808T035258_060439_078370_CD54,VV,2025-08-08,adapt,340
Port Said,S1A_IW_GRDH_1SDV_20250820T035233_20250820T035258_060614_078A53_5450,VV,2025-08-20,eval,296
Port Said,S1A_IW_GRDH_1SDV_20250901T035233_20250901T035258_060789_079136_B324,VV,2025-09-01,eval,362
Port Said,S1A_IW_GRDH_1SDV_20250913T035234_20250913T035259_060964_079836_C838,VV,2025-09-13,eval,496
Port Said,S1A_IW_GRDH_1SDV_20250925T035234_20250925T035259_061139_079F3E_697B,VV,2025-09-25,eval,311
Port Said,S1A_IW_GRDH_1SDV_20251007T035234_20251007T035259_061314_07A64B_B254,VV,2025-10-07,eval,512
Port Said,S1A_IW_GRDH_1SDV_20251019T035234_20251019T035259_061489_07AD50_1AB6,VV,2025-10-19,eval,420
Port Said,S1A_IW_GRDH_1SDV_20251112T035233_20251112T035258_061839_07BB21_91CA,VV,2025-11-12,eval,328
Port Said,S1A_IW_GRDH_1SDV_20251124T035232_20251124T035257_062014_07C1F4_0DB0,VV,2025-11-24,eval,284
Port Said,S1A_IW_GRDH_1SDV_20251206T035231_20251206T035256_062189_07C8C7_B4B3,VV,2025-12-06,eval,258
Port Said,S1A_IW_GRDH_1SDV_20251218T035230_20251218T035255_062364_07CF9A_DF33,VV,2025-12-18,eval,259
Port Said,S1A_IW_GRDH_1SDV_20251230T035229_20251230T035254_062539_07D665_2BBB,VV,2025-12-30,eval,250
Qingdao,S1A_IW_GRDH_1SDV_20250128T095619_20250128T095644_057643_071A6C_C629,VH,2025-01-28,adapt,519
Qingdao,S1A_IW_GRDH_1SDV_20250209T095619_20250209T095644_057818_072156_A282,VH,2025-02-09,adapt,767
Qingdao,S1A_IW_GRDH_1SDV_20250317T095619_20250317T095644_058343_073693_570A,VH,2025-03-17,adapt,558
Qingdao,S1A_IW_GRDH_1SDV_20250329T095619_20250329T095644_058518_073D8B_5302,VH,2025-03-29,adapt,930
Qingdao,S1A_IW_GRDH_1SDV_20250410T095619_20250410T095644_058693_0744B4_726C,VH,2025-04-10,adapt,1085
Qingdao,S1A_IW_GRDH_1SDV_20250422T095619_20250422T095644_058868_074BDE_EE82,VH,2025-04-22,adapt,1429
Qingdao,S1A_IW_GRDH_1SDV_20250504T095619_20250504T095644_059043_0752E1_23FF,VH,2025-05-04,adapt,637
Qingdao,S1A_IW_GRDH_1SDV_20250516T095619_20250516T095644_059218_07592B_E377,VH,2025-05-16,adapt,696
Qingdao,S1A_IW_GRDH_1SDV_20250528T095618_20250528T095643_059393_075F43_4703,VH,2025-05-28,adapt,644
Qingdao,S1A_IW_GRDH_1SDV_20250609T095618_20250609T095643_059568_07653B_64EC,VH,2025-06-09,adapt,1835
Qingdao,S1A_IW_GRDH_1SDV_20250621T095617_20250621T095642_059743_076B46_1176,VH,2025-06-21,adapt,1144
Qingdao,S1A_IW_GRDH_1SDV_20250715T095616_20250715T095641_060093_077760_1FAF,VH,2025-07-15,adapt,706
Qingdao,S1A_IW_GRDH_1SDV_20250808T095615_20250808T095640_060443_078391_9942,VH,2025-08-08,eval,1025
Qingdao,S1A_IW_GRDH_1SDV_20250820T095615_20250820T095640_060618_078A74_3D5A,VH,2025-08-20,eval,850
Qingdao,S1A_IW_GRDH_1SDV_20250901T095616_20250901T095641_060793_079158_54A8,VH,2025-09-01,eval,1754
Qingdao,S1A_IW_GRDH_1SDV_20250925T095616_20250925T095641_061143_079F62_D4E3,VH,2025-09-25,eval,1156
Qingdao,S1A_IW_GRDH_1SDV_20251007T095617_20251007T095642_061318_07A66F_2CB9,VH,2025-10-07,eval,1687
Qingdao,S1A_IW_GRDH_1SDV_20251019T095616_20251019T095641_061493_07AD75_3A90,VH,2025-10-19,eval,563
Qingdao,S1A_IW_GRDH_1SDV_20251031T095616_20251031T095641_061668_07B482_0BCC,VH,2025-10-31,eval,1202
Qingdao,S1A_IW_GRDH_1SDV_20251112T095615_20251112T095640_061843_07BB43_DBA5,VH,2025-11-12,eval,1444
Qingdao,S1A_IW_GRDH_1SDV_20251124T095615_20251124T095640_062018_07C214_78ED,VH,2025-11-24,eval,651
Qingdao,S1A_IW_GRDH_1SDV_20251206T095613_20251206T095638_062193_07C8EB_13B5,VH,2025-12-06,eval,1009
Qingdao,S1A_IW_GRDH_1SDV_20251218T095612_20251218T095637_062368_07CFBE_D9B3,VH,2025-12-18,eval,869
Qingdao,S1A_IW_GRDH_1SDV_20251230T095611_20251230T095636_062543_07D685_8E60,VH,2025-12-30,eval,888
Qingdao,S1C_IW_GRDH_1SDV_20251025T215643_20251025T215708_004724_00954D_12A7,VH,2025-10-25,eval,2036
Qingdao,S1A_IW_GRDH_1SDV_20250128T095619_20250128T095644_057643_071A6C_C629,VV,2025-01-28,adapt,606
Qingdao,S1A_IW_GRDH_1SDV_20250209T095619_20250209T095644_057818_072156_A282,VV,2025-02-09,adapt,1021
Qingdao,S1A_IW_GRDH_1SDV_20250317T095619_20250317T095644_058343_073693_570A,VV,2025-03-17,adapt,624
Qingdao,S1A_IW_GRDH_1SDV_20250329T095619_20250329T095644_058518_073D8B_5302,VV,2025-03-29,adapt,1139
Qingdao,S1A_IW_GRDH_1SDV_20250410T095619_20250410T095644_058693_0744B4_726C,VV,2025-04-10,adapt,1422
Qingdao,S1A_IW_GRDH_1SDV_20250422T095619_20250422T095644_058868_074BDE_EE82,VV,2025-04-22,adapt,1695
Qingdao,S1A_IW_GRDH_1SDV_20250504T095619_20250504T095644_059043_0752E1_23FF,VV,2025-05-04,adapt,820
Qingdao,S1A_IW_GRDH_1SDV_20250516T095619_20250516T095644_059218_07592B_E377,VV,2025-05-16,adapt,1074
Qingdao,S1A_IW_GRDH_1SDV_20250528T095618_20250528T095643_059393_075F43_4703,VV,2025-05-28,adapt,827
Qingdao,S1A_IW_GRDH_1SDV_20250609T095618_20250609T095643_059568_07653B_64EC,VV,2025-06-09,adapt,3769
